Month,Baseline_pnl,Baseline_wr,Baseline_trades,Iter_1_pnl,Iter_1_wr,Iter_1_trades,Iter_2_pnl,Iter_2_wr,Iter_2_trades,Iter_3_pnl,Iter_3_wr,Iter_3_trades,Iter_4_pnl,Iter_4_wr,Iter_4_trades,Iter_5_pnl,Iter_5_wr,Iter_5_trades
2025-04,13.78834617623312,100.0,21,5.910991547588258,100.0,10,7.270638484171387,100.0,12,6.468638730641194,100.0,10,6.468638730641194,100.0,10,6.468638730641194,100.0,10
2025-05,2.2416577356875313,93.10344827586206,29,-27.749787611962248,85.71428571428571,28,-29.278500022377834,87.09677419354838,31,-19.619671239179336,87.5,24,-22.489959337166994,86.36363636363636,22,-22.489959337166994,86.36363636363636,22
2025-06,-0.16276603421657787,92.3076923076923,13,-6.570285271308493,88.88888888888889,18,2.644526694792793,94.73684210526315,19,-20.310077557222428,86.36363636363636,22,-13.164802991354446,84.61538461538461,13,-13.164802991354446,84.61538461538461,13
2025-07,-29.254293533755728,85.71428571428571,28,-13.378477908357276,88.88888888888889,27,-3.2801945860560107,92.3076923076923,26,-17.134415648085703,83.33333333333334,18,-19.471690423254405,86.36363636363636,22,-19.471690423254405,86.36363636363636,22
2025-08,16.13656801100589,96.29629629629629,27,10.081376435321552,96.42857142857143,28,12.067676062318657,96.96969696969697,33,6.3504166714485955,96.55172413793103,29,14.995880170524869,100.0,25,14.995880170524869,100.0,25
2025-09,4.752757085419435,95.0,20,-3.6246310130218475,90.0,10,-0.18064970105718547,93.75,16,-0.5513321711835637,93.75,16,-2.175093218154484,93.33333333333333,15,-2.175093218154484,93.33333333333333,15
2025-10,2.2456080631657294,92.10526315789474,38,-4.501976581885254,88.88888888888889,27,-10.41725657005637,93.02325581395348,43,-14.389128720521546,93.47826086956522,46,-17.55810451848035,92.5,40,-17.55810451848035,92.5,40
2025-11,-47.35435430934358,50.0,8,-17.31555428527304,84.21052631578947,19,-1.5721806814375705,93.33333333333333,15,-2.217145212935527,93.33333333333333,15,-2.8865852828138663,92.3076923076923,13,-2.8865852828138663,92.3076923076923,13
2025-12,15.899265596320356,100.0,20,18.534445779920745,100.0,31,15.896390622711772,100.0,23,12.10349298039846,100.0,26,11.520605333823319,100.0,24,11.520605333823319,100.0,24
2026-01,2.9801893176913596,94.11764705882352,17,1.5561168839707231,94.44444444444444,18,-1.922525700027563,92.85714285714286,14,-1.4573738021327454,91.66666666666666,12,-1.6990815763352378,90.9090909090909,11,-1.6990815763352378,90.9090909090909,11
2026-02,22.94191815228146,100.0,27,15.068049293573006,100.0,22,1.395323035768302,94.11764705882352,17,6.897208835243754,100.0,12,5.593613624397234,100.0,8,5.593613624397234,100.0,8
2026-03,30.70945513424385,100.0,38,22.99537320181194,100.0,35,26.776907835429913,100.0,39,17.57412126045696,100.0,34,12.73596245755953,100.0,25,12.73596245755953,100.0,25
2026-04,1.387588131818307,100.0,2,3.5494820656876613,100.0,6,6.062987372801367,100.0,9,2.7512826788231064,100.0,7,2.9828360596782044,100.0,9,2.9828360596782044,100.0,9
